rank,topic_id,topic,score,status,stated_parent,stated_share,plurality_parent,plurality_share,neighbour_count,input_sha256
1,T11198,Japanese History and Culture,0.16190476190476194,review,Cultural Studies,0.08504672897196261,Literature and Literary Theory,0.49813084112149536,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
2,T12164,Education Practices and Challenges,0.14199346405228758,review,Philosophy,0.0,Education,0.831578947368421,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
3,T13823,Religious and Theological Studies,0.13823529411764707,review,Sociology and Political Science,0.0,Philosophy,0.6962962962962963,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
4,T13575,Travel Writing and Literature,0.13333333333333333,review,History,0.0,Literature and Literary Theory,0.4848484848484848,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
5,T12470,Caribbean and African Literature and Culture,0.128921568627451,review,Religious studies,0.0,Literature and Literary Theory,0.581858407079646,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
6,T13863,Cultural History and Identity Formation,0.1261904761904762,review,History,0.0,Literature and Literary Theory,0.43089430894308944,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
7,T11974,Lepidoptera: Biology and Taxonomy,0.12434640522875817,review,Genetics,0.0,"Ecology, Evolution, Behavior and Systematics",0.7886010362694301,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
8,T13977,Geography and Environmental Studies in Latin America,0.12042483660130718,review,"Geography, Planning and Development",0.0,Education,0.6598030438675022,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
9,T12455,Mediterranean and Iberian flora and fauna,0.11699346405228758,review,Plant Science,0.0,"Ecology, Evolution, Behavior and Systematics",0.7458333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
10,T13023,Synthesis of Organic Compounds,0.11127450980392158,review,Pharmacology,0.0,Organic Chemistry,0.7694915254237289,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
11,T14469,Renaissance Literature and Culture,0.11098901098901097,review,Classics,0.10893854748603352,Literature and Literary Theory,0.39106145251396646,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
