topic_id,topic,subfield_id,subfield,field_id,field,domain_id,domain,works_count,cited_by_count,sibling_count,keyword_count,created_date,updated_date
T14423,Military Technology and Strategies,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,20632645,850197,43,10,2024-01-23T15:27:22,2026-09-22T03:01:44
T10346,Magnetic confinement fusion research,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,5409556,2532757,12,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T13370,Diverse Scientific and Economic Studies,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,4927147,610940,78,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T12157,Geochemistry and Geologic Mapping,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,3432384,1674636,76,10,2024-01-23T15:27:13,2026-09-22T03:01:44
T10451,Mycorrhizal Fungi and Plant Interactions,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,2469737,2039583,89,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T10895,Species Distribution and Climate Change,2302,Ecological Modeling,23,Environmental Science,3,Physical Sciences,1332266,2540840,2,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T11367,Particle accelerators and beam dynamics,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,1275066,408087,43,10,2024-01-23T15:27:10,2026-09-22T03:01:44
T10978,Prenatal Screening and Diagnostics,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,1132765,1114126,19,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T13638,Human auditory perception and evaluation,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,1093184,273436,43,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T13497,Hermeneutics and Narrative Identity,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,954999,833168,48,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T10781,Plasma Diagnostics and Applications,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,830847,908179,116,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T12859,Cell Image Analysis Techniques,1304,Biophysics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,802022,944974,5,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T11881,Crystallization and Solubility Studies,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences,801212,820173,68,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T11475,French Urban and Social Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,716991,757390,223,10,2024-01-23T15:27:10,2026-09-22T03:01:44
T11893,German Literature and Culture Studies,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,712163,382442,52,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T12760,Laser Design and Applications,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,600723,436535,116,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T10165,Classical Antiquity Studies,3314,Anthropology,33,Social Sciences,2,Social Sciences,568870,1842031,24,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T12837,American Environmental and Regional History,2308,"Management, Monitoring, Policy and Law",23,Environmental Science,3,Physical Sciences,567103,543477,33,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T10941,Musicology and Musical Analysis,1210,Music,12,Arts and Humanities,2,Social Sciences,561107,514223,4,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T10015,Genomics and Phylogenetic Studies,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,544822,7754845,134,10,2024-01-23T15:27:04,2026-09-22T03:01:44
T13958,"Education, Innovation and Language Studies",3304,Education,33,Social Sciences,2,Social Sciences,513734,52524,136,10,2024-01-23T15:27:20,2026-09-22T03:01:44
T13445,American Constitutional Law and Politics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,502421,1846990,117,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T11662,Legal Cases and Commentary,2743,Reproductive Medicine,27,Medicine,4,Health Sciences,497703,75964,7,10,2024-01-23T15:27:11,2026-09-22T03:01:44
T10251,Solar and Space Plasma Dynamics,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,483255,2978692,20,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T11198,Japanese History and Culture,3316,Cultural Studies,33,Social Sciences,2,Social Sciences,478360,477150,37,10,2024-01-23T15:27:09,2026-09-22T03:01:44
T10048,Particle physics theoretical and experimental studies,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,463667,4848568,12,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T14380,Libraries and Information Services,1209,Museology,12,Arts and Humanities,2,Social Sciences,459660,116100,8,10,2024-01-23T15:27:22,2026-09-22T03:01:44
T14335,Educational Robotics and Engineering,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,457551,56557,76,10,2024-01-23T15:27:22,2026-09-22T03:01:44
T12633,Legal case studies and regulations,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,453848,81362,117,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T10591,Theoretical and Computational Physics,3104,Condensed Matter Physics,31,Physics and Astronomy,3,Physical Sciences,453262,2554175,7,10,2024-01-23T15:27:07,2026-09-22T03:01:44
T11926,Subterranean biodiversity and taxonomy,1911,Paleontology,19,Earth and Planetary Sciences,3,Physical Sciences,439715,195750,6,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T13085,"Education, Psychology, and Social Research",3304,Education,33,Social Sciences,2,Social Sciences,425109,47374,136,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T10252,Microbial Natural Products and Biosynthesis,2736,Pharmacology,27,Medicine,4,Health Sciences,419380,1711589,21,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T10362,Biblical Studies and Interpretation,1212,Religious studies,12,Arts and Humanities,2,Social Sciences,417109,1116712,14,10,2024-01-23T15:27:06,2026-09-22T03:01:44
