type,source_id,source,unassigned_works
dataset,S7407052672,NIFS,12545688
other,S7407053449,DiSSCo,3655781
dataset,S7407053449,DiSSCo,2096786
dataset,S7407051155,DOE Pacific Northwest National Laboratory (PNNL) Repository,803365
dataset,S4398183272,Global Biodiversity Information Facility,669440
dataset,S4306400562,Zenodo (CERN European Organization for Nuclear Research),531748
dataset,S4363604052,ENCODE Datasets,496659
dataset,S7407053200,University of Southern California Digital Library,407461
other,S7407053410,SESAR_ODP,396829
dataset,S7407051207,Plutof.  Data Management and Publishing Platform,370577
dataset,S4377196806,Harvard Dataverse,340633
other,S7407056385,Institutional Repositories DataBase (IRDB),286358
other,S4306400562,Zenodo (CERN European Organization for Nuclear Research),283707
other,S7407053303,IGSN ID registration for Geoscience SAMPLES data,252905
report,S7407056385,Institutional Repositories DataBase (IRDB),214840
article,S7407056385,Institutional Repositories DataBase (IRDB),195876
dataset,S7407053504,BacDive,190632
dataset,S4377196282,Figshare,156761
paratext,S4306463230,Elsevier eBooks,154651
other,S4306525036,PubMed,153381
dataset,S7407050996,Università degli Studi di Milano,152110
dataset,S7407060685,LPSN,131378
dataset,S7407056385,Institutional Repositories DataBase (IRDB),114993
other,S7407051306,International Treaty on Plant Genetic Resources for Food and Agriculture,112423
other,S7407052672,NIFS,105691
report,S4306400562,Zenodo (CERN European Organization for Nuclear Research),104339
dataset,S7407052521,Recherche Data Gouv France,103883
other,S7407051034,System for Earth Sample Registration (SESAR),103469
dataset,S7407051464,The Catalogue of Life,85873
other,S4377196282,Figshare,75988
paratext,S4306463805,Princeton University Press eBooks,72459
article,S4306402601,Columbia Academic Commons (Columbia University),70231
other,S4306402292,Digital Collections of Colorado (Colorado State University),62081
dataset,S7407050775,Mendeley Data,58031
other,S7407050744,Digital Repository of Ireland,54944
other,S4306402129,Open University of Cape Town (University of Cape Town),52091
dataset,S4397694588,The Cambridge Structural Database,51912
article,S4406923042,Cairn.info,49228
other,S4377196108,Hispana,46509
article,S4210210193,Nihon Kikai Gakkaishi/Journal of the Japan Society of Mechanical Engineers,46390
article,S49861241,The Lancet,45173
article,S4306402089,University of Debrecen Electronic Archive (University of Debrecen),42131
dataset,S4363604066,Art Sales Catalogues Online,42004
article,S4306401404,CyberLeninK (CyberLeninka),40762
dataset,S4306524878,PsycEXTRA Dataset,38823
article,S4306400562,Zenodo (CERN European Organization for Nuclear Research),37401
dataset,S7407063902,Worldwide Protein Data Bank,35152
other,S4306402539,ANU Open Research (Australian National University),34156
paratext,S4306463363,Harvard University Press eBooks,33342
article,S7407064440,OLAC - Open Language Archives Community,33211
article,S2756445955,Japanese Journal of Radiological Technology,32263
article,S4306500507,Acta Scientiarum Naturalium Universitatis Sunyatseni,29333
other,S7407053016,NTNU,28818
report,S4306400792,University of North Texas Digital Library (University of North Texas),27534
other,S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),26198
paratext,S4306464201,University of Toronto Press eBooks,25776
paratext,S4306464344,Yale University Press eBooks,25508
other,S7407052373,PARADISEC,25008
other,S7407051350,The British Museum,24465
dataset,S4363604084,ICPSR Data Holdings,24236
article,S4306400269,eNTUKhPIIR Repository (Kharkiv Polytechnic Institute),23697
article,S4306525036,PubMed,23601
article,S4393911389,BMJ,23379
dataset,S4363604062,Human Rights Documents online,23211
dataset,S7407052793,Göttingen Research Online,23180
paratext,S4306463045,Columbia University Press eBooks,22897
article,S2752698192,The Japanese Journal of Urology,22411
other,S7407050947,Toubkal,22189
paratext,S4306463067,Cornell University Press eBooks,22123
other,S4306402521,University of Minnesota Digital Conservancy (University of Minnesota),21997
article,S4306401280,DOAJ (DOAJ: Directory of Open Access Journals),21522
dataset,S4363604130,GISAID,21423
dataset,S7407053357,CUHK Research Data Repository,21156
other,S4406922388,Périodiques Scientifiques en Édition Électronique,20819
dataset,S4306401843,Data Archiving and Networked Services (DANS),20511
other,S7407050956,Open Science Framework,20337
dataset,S7407050840,bonndata,20312
dataset,S7407051966,Kaggle,19684
article,S7407064240,USMA Digital Collections,19471
paratext,S4306463608,McGill-Queen's University Press eBooks,19430
report,S4306402641,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),19301
paratext,S4306463952,Stanford University Press eBooks,19205
other,S7407051768,NAKALA,18820
article,S4210197683,Medical Entomology and Zoology,18385
paratext,S4306463151,Edinburgh University Press eBooks,17874
article,S128516502,Notes and Queries,16996
other,S7407053148,Underline Science Inc.,16700
report,S7407052981,RENATE,16592
report,S4306400110,Iowa Publications Online (State Library of Iowa),16264
dataset,S7407050895,HEPData,15896
paratext,S4306463223,Edward Elgar Publishing eBooks,15180
article,S100460328,Scientific American,15023
paratext,S4306464193,University of Pennsylvania Press eBooks,14983
other,S4406922838,Institutional Repository of National University of Food Technologies,14938
article,S4377196108,Hispana,14732
report,S4306401436,Archive of European Integration (AEI) (University of Pittsburgh),14600
article,S2914338665,Journal of Geography (Chigaku Zasshi),14559
other,S4377196211,Wielkopolska Digital Library,14415
article,S3880285,Science,14213
paratext,S4306462911,Berghahn Books,14128
paratext,S4406922792,Biblioteca Digitala a Bibliotecii Centrale Universitare Cluj,14124
other,S4406923040,Persée (Ministère de lEnseignement supérieur et de la Recherche),14050
paratext,S4306463659,New York University Press eBooks,14050
paratext,S4306466687,Boydell and Brewer eBooks,13998
paratext,S4306464022,transcript Verlag eBooks,13778
report,S4306400390,Repositorio Académico UPC (Universidad Peruana de Ciencias Aplicadas),13711
dataset,S4377196879,Publishing Network for Geoscientific and Environmental Data (PANGAEA) (Alfred Wegener Institute for Polar and Marine Research),13390
article,S2764455111,PubMed Central,13375
dataset,S4306520246,MorphoSource Media,13252
other,S7407050528,AIP Publishing,13056
other,S7407052863,TERN IGSN ID Catalogue,12970
paratext,S4306462973,Bristol University Press eBooks,12860
paratext,S4306463954,State University of New York Press eBooks,12757
other,S4306401060,Maestría en Control de Operaciones y Gestión Logística (Escuela Superior Politécnica del Litoral),12753
paratext,S4306474939,Lexington Books,12629
report,S4306402266,Digital Repository (National Repository of Grey Literature),12494
dataset,S7407052481,EBAS,12393
other,S4210201231,Socio-Environmental Systems Modeling,12280
paratext,S7407056385,Institutional Repositories DataBase (IRDB),12059
paratext,S4306463762,Policy Press eBooks,11968
other,S7407059930,CFI-FCI,11965
paratext,S4306464165,University of Hawaii Press eBooks,11894
article,S4306400275,"Electronic Archive of the National University ""Odessa Law Academy"" (Scientific Library of the Odessa Law Academy)",11874
dataset,S4363604095,North China Daily News Online,11702
paratext,S4306463734,Penn State University Press eBooks,11547
article,S62468778,New England Journal of Medicine,11513
article,S156280010,American Mathematical Monthly,11406
paratext,S4306463865,Rutgers University Press eBooks,11376
other,S7407064440,OLAC - Open Language Archives Community,11322
other,S7407051257,Graphische Sammlung,11308
paratext,S4306463289,Fordham University Press eBooks,11297
other,S4306400786,Americanae (AECID Library),11192
paratext,S4306464200,University of Texas Press eBooks,11075
other,S4306400757,eCommons (Cornell University),11058
other,S7407051243,"E-Pics 4, Biosys",10657
article,S4306402274,SHAREOK (University of Oklahoma; Oklahoma State University; Central Oklahoma University),10616
dataset,S7407050882,UC Los Angeles,10269
dataset,S7407050937,ScienceDB,9990
other,S7407051382,University of Oxford,9892
dataset,S7407051408,FIU Research Data Portal,9883
other,S4406923063,Taipei Medical University Repository,9787
paratext,S4306479034,Rowman & Littlefield Publishers eBooks,9601
article,S4377196575,INSTITUTIONAL REPOSITORY OF ODESSA NATIONAL UNIVERSITY NAMED I.I. Mechnykova (Odesa I.I.Mechnikov National University),9413
paratext,S4306463997,The MIT Press eBooks,9370
other,S4306401991,A.N.Beketov KNUME Digital Repository (National University of Kharkiv),9179
other,S4306402228,Calaix (Generalitat de Catalunya),9086
paratext,S4406923042,Cairn.info,8972
other,S7407064234,David Rumsey Historical Maps,8945
paratext,S4306462833,Amsterdam University Press eBooks,8870
dataset,S4306524922,PsycTESTS Dataset,8836
other,S4306402281,OpenEdition (OpenEdition),8805
other,S4306401468,Lume (Universidade Federal do Rio Grande do Sul),8742
article,S2764987464,Taiikugaku kenkyu (Japan Journal of Physical Education Health and Sport Sciences),8693
other,S7407055191,Lithuanian University of Health Sciences,8580
other,S4306400110,Iowa Publications Online (State Library of Iowa),8576
other,S7407055284,Közszolgálati Tudásportál,8392
paratext,S4306464182,University of Minnesota Press eBooks,8376
dataset,S7407051121,Geological Survey of Denmark and Greenland (GEUS),8277
article,S6700441,The Journal of the Kyushu Dental Society,8275
other,S4306401651,Digitalen Hochschulbibliothek Sachsen-Anhalt (Universitäts- und Landesbibliothek Sachsen-Anhalt),8274
paratext,S2764835645,International Journal of Pharmaceutical Sciences and Research,7979
other,S4306401777,Apollo (University of Cambridge),7950
paratext,S173695690,Astronomische Nachrichten,7936
paratext,S171471881,Zootaxa,7933
article,S4210207677,JOURNAL OF THE SOCIETY OF BREWING JAPAN,7848
article,S2764588497,JAPANES JOURNAL OF MEDICAL INSTRUMENTATION,7763
other,S7407051621,Harokopio University,7725
other,S4306400396,Electronic Kyiv-Mohyla Academy Institutional Repository (National University of Kyiv-Mohyla Academy),7667
article,S125174104,The Journal of the Japanese Association for Chest Surgery,7654
article,S7407064331,Chinese Culture University Repository,7585
article,S4377196751,Scholar Works at Harding (Harding University Main Campus),7552
other,S4306400616,DIGITAL.CSIC (Spanish National Research Council (CSIC)),7536
article,S4306401271,RePEc: Research Papers in Economics,7502
dataset,S7407053353,Neotoma Paleoecological Database,7466
paratext,S4306463559,Liverpool University Press eBooks,7460
dataset,S4363604105,Manchuria Daily News Online,7440
article,S4377196368,UNM’s Digital Repository (University of New Mexico),7424
paratext,S13978405,The Medical Journal of Australia,7412
article,S13978405,The Medical Journal of Australia,7295
other,S7407055231,Bulgarian Portal for Open Science,7290
other,S7407064233,ARTstor OAICatMuseum Repository,7253
paratext,S4306462995,Cambridge University Press eBooks,7208
article,S4377196826,Kharkiv National Medical University Repository (Kharkiv National Medical University),7190
article,S169477635,Nippon Jibiinkoka Gakkai Kaiho,7107
article,S7407064235,Digital Collections at BYU,7071
article,S126523489,AUDIOLOGY JAPAN,6983
other,S7407055282,Repositori Obert de Coneixement de lAjuntament de Barcelona,6952
other,S4377196541,Internet Archive (Internet Archive),6848
dataset,S7407050717,DataverseNO,6822
dataset,S4363604118,Prize Papers Online 1,6789
paratext,S4306481741,University of British Columbia Press eBooks,6789
