publication_year,unassigned_works,total_works
2027,1641,
2026,22484378,32068337
2025,3578884,14679240
2024,911374,10870955
2023,604562,10919361
2022,866923,10282650
2021,877097,10787887
2020,583250,11502522
2019,500074,10809118
2018,446377,10440648
2017,494155,10486986
2016,432009,10628344
2015,428054,10215679
2014,382275,9998309
2013,337884,9445410
2012,331146,8993595
2011,339913,8723074
2010,302555,8106640
2009,304559,7564552
2008,260988,6992831
2007,216378,6498470
2006,202795,5962296
2005,191380,5473347
2004,231763,5122370
2003,190596,4719084
2002,159682,4435522
2001,155206,3823182
2000,147593,3819852
1999,127447,3164537
1998,119048,3049293
1997,114766,2863932
1996,112210,2772212
1995,105673,2559340
1994,99385,2408205
1993,95678,2281842
1992,90587,2187451
1991,86572,2088438
1990,86346,2092182
1989,86128,1930905
1988,79956,1812220
1987,79119,1731600
1986,74367,1643994
1985,72380,1564855
1984,70552,1515011
1983,68897,1446209
1982,67332,1390225
1981,63956,1357232
1980,61982,1367320
1979,59050,1246298
1978,53815,1200242
1977,50861,1148932
1976,51115,1101038
1975,53799,1078292
1974,52228,1035406
1973,45233,994697
1972,46453,975401
1971,43069,933801
1970,43558,1010449
1969,39822,861849
1968,40453,808599
1967,39675,755146
1966,35344,703067
1965,34530,648892
1964,33903,600622
1963,33736,568970
1962,28346,516717
1961,27385,489185
1960,27709,500062
1959,26504,442727
1958,25671,418068
1957,25731,393989
1956,23319,374480
1955,23807,365453
1954,23593,355124
1953,22923,346304
1952,20511,330035
1951,19234,319173
1950,18231,312852
1949,14877,244780
1948,13368,228602
1947,12012,201489
1946,10531,172961
1945,10367,143299
1944,11979,140155
1943,12986,148142
1942,12902,158606
1941,17357,169283
1940,15963,201996
1939,18217,190827
1938,16772,193648
1937,16444,191103
1936,16918,189737
1935,18105,187153
1934,15819,177325
1933,15247,175927
1932,15935,180250
1931,18086,176591
1930,16774,182432
1929,15754,170397
1928,14763,164767
1927,14148,160137
1926,13123,152929
1925,12693,141990
1924,12480,136464
1923,10989,129836
1922,10921,128902
1921,11526,120283
1920,9528,116243
1919,9066,101028
1918,9161,96045
1917,8950,97355
1916,10105,101704
1915,10368,103651
1914,11968,114868
1913,9947,119817
1912,11324,120876
1911,10438,117297
1910,10012,115706
1909,10386,108796
1908,9393,103900
1907,9926,99267
1906,9816,98367
1905,11203,100698
1904,9193,93949
1903,9132,93272
1902,10488,92179
1901,9431,91136
1900,9899,100475
1899,6150,69330
1898,6192,65890
1897,6077,63660
1896,6721,63938
1895,6515,60089
1894,5972,57543
1893,5384,54822
1892,4956,50639
1891,5464,50681
1890,5473,51904
1889,5182,49282
1888,4541,49965
1887,4134,48326
1886,3794,46072
1885,3138,43422
1884,3100,42099
1883,2928,40832
1882,2836,37013
1881,2545,37352
1880,2907,41185
1879,2294,34100
1878,1947,32512
1877,2077,31442
1876,2744,35330
1875,1940,29113
1874,1874,27812
1873,1915,27027
1872,1740,25656
1871,1334,21432
1870,1332,24813
1869,1398,22562
1868,1467,21616
1867,1309,21787
1866,1206,19597
1865,1198,18271
1864,1081,18980
1863,1074,20079
1862,1117,20080
1861,1126,19385
1860,1146,20150
1859,1129,19720
1858,1133,20123
1857,1360,21628
1856,1384,19977
1855,1318,20332
1854,1271,19675
1853,1223,18981
1852,1061,17798
1851,1043,17875
1850,1109,17201
1849,832,13816
1848,1153,15189
1847,1441,15653
1846,1075,13577
1845,724,11025
1844,606,10625
1843,640,10989
1841,754,9841
1840,843,10274
1839,894,9520
1837,578,8224
1834,551,7655
1831,567,6331
1830,587,6851
1829,728,6693
1828,637,6919
1827,547,6871
1825,606,
1824,628,
1823,762,
1727,561,
1400,926,
